State,Jurisdiction,All,Yes,No,County,Facility
Delaware,All,"2,450","1,738",712,All,All
Delaware,"Sussex County - Sussex Co Pris,geotwn,de","1,317",898,419,Sussex County,"Sussex Co Pris,geotwn,de"
Delaware,New Castle County - Ganderhill,836,668,168,New Castle County,Ganderhill
Delaware,Kent County - Delaware Correction Cente,104,60,44,Kent County,Delaware Correction Cente
Delaware,Kent County - Dover Hold Room,80,55,25,Kent County,Dover Hold Room
Delaware,Sussex County - Sussex Correctional Institution,41,12,29,Sussex County,Sussex Correctional Institution
Delaware,New Castle County - Women's Correctional Inst,34,28,6,New Castle County,Women's Correctional Inst
Delaware,Kent County - Dover Police Dept.,12,1,11,Kent County,Dover Police Dept.
Delaware,Kent County - Kent County Sheriff/Jail,11,9,2,Kent County,Kent County Sheriff/Jail
Delaware,New Castle County - Us Marshals - Delaware Distric,7,6,1,New Castle County,Us Marshals
Delaware,New Castle County - Multipurpose Correctional,4,,4,New Castle County,Multipurpose Correctional
Delaware,Kent County - Stevenson House Detention Center,3,,3,Kent County,Stevenson House Detention Center
Delaware,Kent County - Southwest Key (Juvenile),1,1,,Kent County,Southwest Key (Juvenile)
